Name,Y-Koord.,X-Koord.,Höhe,Verkehrsmittel
Äuli,0,0,0,(Zug)
Aadorf,710.377,260.736,528,Zug
"Aadorf, Bahnhof",710.335,260.768,528,Bus
"Aadorf, Morgental",709.827,261.373,517,Bus
"Aadorf, Zentrum",710.079,261.06,528,Bus
Aarau,646.254,249.128,383,Zug
"Aarau Rohr, Gemeindehaus",648.785,250.486,375,Bus
"Aarau Rohr, Quellhölzli",648.044,250.143,374,Bus
"Aarau Rohr, Rigistrasse",648.459,250.334,375,Bus
"Aarau Rohr, Salamatt",647.824,249.937,369,Bus
"Aarau Rohr, Unterdorf",649.01,250.605,375,Bus
Aarau WSB,646.36,249.09,383,(Zug)
"Aarau, Aarenau",646.085,250.261,365,Bus
"Aarau, Aarepark",645.5,249.676,370,Bus
"Aarau, Achenbergstrasse",645.906,250.076,383,Bus
"Aarau, Allmendweg",645.228,249.187,368,Bus
"Aarau, Alte Badanstalt",644.741,249.567,383,Bus
"Aarau, Bahnhof",646.235,249.184,383,Bus
"Aarau, Bavaria",647.151,249.018,385,Bus
"Aarau, Berufsschule",646.535,249.761,364,Bus
"Aarau, Binzenhofstrasse",645.923,247.791,419,Bus
"Aarau, Buchenhof",646.216,248.704,396,Bus
"Aarau, Dammweg",644.938,248.513,368,Bus
"Aarau, Delfterstrasse",647.08,249.958,364,Bus
"Aarau, Dossenstrasse",646,247.988,416,Bus
"Aarau, Dufourstrasse",646.354,248.429,399,Bus
"Aarau, Friedhof",645.92,248.823,397,Bus
"Aarau, Gais",646.618,249.122,383,Bus
"Aarau, General Guisanstrasse",646.58,247.69,405,Bus
"Aarau, Hans Hässigstrasse",646.158,247.92,412,Bus
"Aarau, Heinrich Wirristrasse",646.461,248.251,399,Bus
"Aarau, Herzogplatz",646.585,248.687,396,Bus
"Aarau, Hirslanden Klinik",645.506,249.091,368,Bus
"Aarau, Holzmarkt",645.821,249.21,383,Bus
"Aarau, Ifang",645.311,248.701,367,Bus
"Aarau, Käfergrund",646.34,247.799,409,Bus
"Aarau, Kasinopark",645.922,249.213,384,Bus
"Aarau, Keba",646.724,248.038,399,Bus
"Aarau, Kettenbrücke",645.574,249.511,371,Bus
"Aarau, Kunsthaus",645.876,249.062,383,Bus
"Aarau, Neumattstrasse",647.314,250.067,365,Bus
"Aarau, Obere Vorstadt",645.985,248.9,392,Bus
"Aarau, Pestalozzistrasse",645.582,248.63,407,Bus
"Aarau, Post Kaufhaus",645.716,249.307,398,Bus
"Aarau, Rathaus",645.63,249.42,367,Bus
"Aarau, Roggenhausen",645.167,248.49,393,Bus
"Aarau, Schanz",645.573,248.86,405,Bus
"Aarau, Sonnmattweg",645.636,249.827,383,Bus
"Aarau, Spital",646.973,248.693,392,Bus
"Aarau, Tannerstrasse",645.777,248.34,413,Bus
"Aarau, Tellizentrum",646.838,249.846,364,Bus
"Aarau, Wallerplatz",645.732,248.099,424,Bus
"Aarau, Wasserfluhweg",646.08,247.739,416,Bus
"Aarau, Wöschnauring",644.733,248.433,369,Bus
"Aarau, Zelglistrasse",645.662,248.473,412,Bus
Aarberg,587.845,210.402,449,Zug
Aarberg Zuckerrüben,587.592,209.911,450,Zug
