name,aggmiv,max20aggmiv,kalaggmiv,aggoev,max30aggoev,kalaggoev,kernmiv,max30miv,kalkernmiv,kernoev,max40oev,kalkernoev,lat,lon,x,y
Aeugst am Albis ZH,18,0.9,0.9,30,1,1,18,0.6,0.6,30,0.75,0.75,47.26773452758789,8.485282897949219,235731.296875,679205.375
Affoltern am Albis ZH,15,0.75,0.75,18,0.6,0.6,15,0.5,0.5,22,0.55,0.55,47.28193283081055,8.448734283447266,237273.34375,676419.375
Bonstetten ZH,14,0.7,0.7,15,0.5,0.5,14,0.47,0.47,15,0.375,0.38,47.316036224365234,8.462499618530273,241078.453125,677411.3125
Hausen am Albis ZH,15,0.75,0.75,29,0.97,0.97,17,0.57,0.57,29,0.725,0.73,47.24540328979492,8.533475875854492,233298.421875,682886.75
Hedingen ZH,12,0.6,0.6,19,0.63,0.63,12,0.4,0.4,19,0.475,0.48,47.302337646484375,8.45039176940918,239543.75,676515.5
Kappel am Albis ZH,15,0.75,0.75,23,0.77,0.77,23,0.77,0.77,39,0.975,0.98,47.22494888305664,8.51696491241455,231007.453125,681668.125
Knonau ZH,12,0.6,0.6,10,0.33,0.33,18,0.6,0.6,31,0.775,0.78,47.22661209106445,8.459218978881836,231133.8125,677292.5625
Maschwanden ZH,15,0.75,0.75,30,1,1,19,0.63,0.63,41,1.025,1,47.23518753051758,8.429160118103027,232058.140625,675004.1875
Mettmenstetten ZH,14,0.7,0.7,14,0.47,0.47,17,0.57,0.57,28,0.7,0.7,47.2434196472168,8.460614204406738,233003.78125,677373.875
Obfelden ZH,16,0.8,0.8,30,1,1,16,0.53,0.53,32,0.8,0.8,47.262088775634766,8.419060707092285,235038.875,674202.125
Ottenbach ZH,16,0.8,0.8,34,1.13,1,16,0.53,0.53,35,0.875,0.88,47.280799865722656,8.409626960754395,237110.375,673462.5
Rifferswil ZH,14,0.7,0.7,38,1.27,1,17,0.57,0.57,38,0.95,0.95,47.24550247192383,8.494876861572266,233269.484375,679964.625
Stallikon ZH,9,0.45,0.45,13,0.43,0.43,9,0.3,0.3,13,0.325,0.33,47.32014465332031,8.493560791015625,241566.15625,679753.4375
Wettswil am Albis ZH,16,0.8,0.8,14,0.47,0.47,16,0.53,0.53,14,0.35,0.35,47.33665084838867,8.471699714660645,243379.328125,678076.6875
Adlikon ZH,12,0.6,0.6,22,0.73,0.73,23,0.77,0.77,44,1.1,1,47.588687896728516,8.690032005310059,271638.53125,694129.375
Benken  ZH,10,0.5,0.5,23,0.77,0.77,26,0.87,0.87,48,1.2,1,47.653770446777344,8.654661178588867,278832.375,691356.875
Berg am Irchel ZH,16,0.8,0.8,33,1.1,1,25,0.83,0.83,53,1.325,1,47.56057357788086,8.59334659576416,268401.53125,686903.375
Buch am Irchel ZH,11,0.55,0.55,27,0.9,0.9,24,0.8,0.8,46,1.15,1,47.54691696166992,8.627248764038086,266921.09375,689477.6875
Dachsen ZH,10,0.5,0.5,13,0.43,0.43,30,1,1,45,1.125,1,47.659889221191406,8.62591552734375,279479.625,689187.1875
Dorf ZH,11,0.55,0.55,17,0.57,0.57,22,0.73,0.73,43,1.075,1,47.5726318359375,8.650193214416504,269806.65625,691160.5625
Feuerthalen ZH,8,0.4,0.4,8,0.27,0.27,33,1.1,1,56,1.4,1,47.68611526489258,8.649129867553711,282422.34375,690885.9375
Flaach ZH,14,0.7,0.7,27,0.9,0.9,25,0.83,0.83,53,1.325,1,47.583404541015625,8.601950645446777,270949.0625,687513.25
Flurlingen ZH,9,0.45,0.45,8,0.27,0.27,31,1.03,1,45,1.125,1,47.6836051940918,8.63549518585205,282127.5625,689866.5625
Andelfingen ZH,11,0.55,0.55,12,0.4,0.4,22,0.73,0.73,35,0.875,0.88,47.59471893310547,8.67533016204834,272291.46875,693013.0625
Henggart ZH,8,0.4,0.4,9,0.3,0.3,19,0.63,0.63,29,0.725,0.73,47.56039047241211,8.680817604064941,268481.46875,693486.125
Humlikon ZH,9,0.45,0.45,24,0.8,0.8,21,0.7,0.7,51,1.275,1,47.57485580444336,8.675910949707031,270083.9375,693091.5625
Kleinandelfingen ZH,15,0.75,0.75,28,0.93,0.93,26,0.87,0.87,52,1.3,1,47.60911178588867,8.679253578186035,273896.5,693282.8125
Laufen-Uhwiesen ZH,10,0.5,0.5,21,0.7,0.7,30,1,1,50,1.25,1,47.669315338134766,8.650155067443848,280555.53125,690991.75
Marthalen ZH,12,0.6,0.6,19,0.63,0.63,26,0.87,0.87,38,0.95,0.95,47.61931228637695,8.64637565612793,274992.09375,690793.4375
Oberstammheim ZH,14,0.7,0.7,24,0.8,0.8,32,1.07,1,52,1.3,1,47.62563705444336,8.797718048095703,275881.1875,702157.4375
Ossingen ZH,13,0.65,0.65,22,0.73,0.73,24,0.8,0.8,45,1.125,1,47.611328125,8.721844673156738,274194.3125,696480.875
Rheinau ZH,14,0.7,0.7,35,1.17,1,30,1,1,56,1.4,1,47.627403259277344,8.611483573913574,275851.59375,688157.25
Thalheim an der Thur ZH,15,0.75,0.75,26,0.87,0.87,26,0.87,0.87,52,1.3,1,47.582008361816406,8.745246887207031,270963.6875,698294.625
Trüllikon ZH,15,0.75,0.75,31,1.03,1,28,0.93,0.93,53,1.325,1,47.64582824707031,8.682308197021484,277981.96875,693447.8125
Truttikon ZH,14,0.7,0.7,28,0.93,0.93,26,0.87,0.87,54,1.35,1,47.632408142089844,8.729597091674805,276547.25,697025.1875
Unterstammheim ZH,16,0.8,0.8,27,0.9,0.9,32,1.07,1,53,1.325,1,47.64667510986328,8.78773307800293,278207.1875,701366.75
